step,time_hours,time_seconds,time_minutes,S0_soc,S0_queue,S0_renewable_in_kW,S0_wireless_out_kW,S1_soc,S1_queue,S1_renewable_in_kW,S1_wireless_out_kW,S2_soc,S2_queue,S2_renewable_in_kW,S2_wireless_out_kW
0,0.0,0.0,0.0,0.8,0,0.0,0.0,0.8,0,0.10376516717540085,0.0,0.8,0,0.0,0.0
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.7999985532407408,0,0.0,0.0,0.8000285778840206,0,0.1037652404478556,0.0,0.7999985532407408,0,0.0,0.0
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.7999971064814815,0,0.0,0.0,0.8000571557892429,0,0.10376531372031035,0.0,0.7999971064814815,0,0.0,0.0
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.7999956597222222,0,0.0,0.0,0.8000857337156666,0,0.10376538699276508,0.0,0.7999956597222222,0,0.0,0.0
4,0.00011111111111111112,0.4,0.006666666666666667,0.799994212962963,0,0.0,0.0,0.8001143116632918,0,0.10376546026521982,0.0,0.799994212962963,0,0.0,0.0
5,0.0001388888888888889,0.5,0.008333333333333333,0.7999927662037037,0,0.0,0.0,0.8001428896321187,0,0.10376553353767458,0.0,0.7999927662037037,0,0.0,0.0
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.7999913194444445,0,0.0,0.0,0.8001714676221469,0,0.10376560681012932,0.0,0.7999913194444445,0,0.0,0.0
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.7999898726851852,0,0.0,0.0,0.8002000456333765,0,0.10376568008258405,0.0,0.7999898726851852,0,0.0,0.0
8,0.00022222222222222223,0.8,0.013333333333333334,0.7999884259259259,0,0.0,0.0,0.8002286236658078,0,0.10376575335503879,0.0,0.7999884259259259,0,0.0,0.0
9,0.00025,0.9,0.015000000000000001,0.7999869791666666,0,0.0,0.0,0.8002572017194407,0,0.10376582662749355,0.0,0.7999869791666666,0,0.0,0.0
10,0.0002777777777777778,1.0,0.016666666666666666,0.7999855324074073,0,0.0,0.0,0.8002857797942751,0,0.10376589989994829,0.0,0.7999855324074073,0,0.0,0.0
11,0.00030555555555555555,1.1,0.018333333333333333,0.799984085648148,0,0.0,0.0,0.800314357890311,0,0.10376597317240302,0.0,0.799984085648148,0,0.0,0.0
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.7999826388888889,0,0.0,0.0,0.8003429360075484,0,0.10376604644485778,0.0,0.7999826388888889,0,0.0,0.0
13,0.00036111111111111115,1.3,0.021666666666666667,0.7999811921296296,0,0.0,0.0,0.8003715141459873,0,0.10376611971731252,0.0,0.7999811921296296,0,0.0,0.0
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.7999797453703703,0,0.0,0.0,0.8004000923056277,0,0.10376619298976726,0.0,0.7999797453703703,0,0.0,0.0
15,0.0004166666666666667,1.5,0.025,0.799978298611111,0,0.0,0.0,0.8004286704864696,0,0.103766266262222,0.0,0.799978298611111,0,0.0,0.0
16,0.00044444444444444447,1.6,0.02666666666666667,0.7999768518518517,0,0.0,0.0,0.800457248688513,0,0.10376633953467675,0.0,0.7999768518518517,0,0.0,0.0
17,0.00047222222222222224,1.7,0.028333333333333332,0.7999754050925925,0,0.0,0.0,0.8004858269117581,0,0.10376641280713149,0.0,0.7999754050925925,0,0.0,0.0
18,0.0005,1.8,0.030000000000000002,0.7999739583333332,0,0.0,0.0,0.8005144051562045,0,0.10376648607958625,0.0,0.7999739583333332,0,0.0,0.0
19,0.0005277777777777778,1.9000000000000001,0.03166666666666667,0.7999725115740739,0,0.0,0.0,0.8005429834218526,0,0.10376655935204097,0.0,0.7999725115740739,0,0.0,0.0
20,0.0005555555555555556,2.0,0.03333333333333333,0.7999710648148147,0,0.0,0.0,0.8005715617087021,0,0.10376663262449572,0.0,0.7999710648148147,0,0.0,0.0
